[Round 0, MD: 14, MF: 0.6, N: 15 , trees have length 14 , Accuracy: 86.75519553321503%, Ellapsed: 16.2 sec],
[Round 1, MD: 16, MF: 0.79, N: 33 , trees have length 16 , Accuracy: 87.44830453732096%, Ellapsed: 39.7 sec],
[Round 2, MD: 19, MF: 0.18, N: 22 , trees have length 19 , Accuracy: 87.61462099893825%, Ellapsed: 13.6 sec],
[Round 3, MD: 19, MF: 0.21, N:  , trees have length 19 , Accuracy: 87.15168209796336%, Ellapsed: 5.6 sec],
[Round 4, MD: 13, MF: 0.43, N: 43 , trees have length 13 , Accuracy: 86.37392989464149%, Ellapsed: 30.6 sec],
[Round 5, MD: 16, MF: 0.51, N: 68 , trees have length 16 , Accuracy: 87.38964828523274%, Ellapsed: 60.2 sec],
[Round 6, MD: 20, MF: 0.69, N: 28 , trees have length 20 , Accuracy: 88.93958406034912%, Ellapsed: 32.3 sec],
[Round 7, MD: 13, MF: 0.76, N: 39 , trees have length 13 , Accuracy: 86.61263856611451%, Ellapsed: 42.8 sec],
[Round 8, MD: 4, MF: 0.26, N: 30 , trees have length 4 , Accuracy: 78.15500100235367%, Ellapsed: 7.5 sec],
[Round 9, MD: 4, MF: 0.27, N: 15 , trees have length 4 , Accuracy: 76.49926122821736%, Ellapsed: 4.3 sec],
[Round 10, MD: 10, MF: 0.48, N: 33 , trees have length 10 , Accuracy: 84.72524372043985%, Ellapsed: 19.1 sec],
[Round 11, MD: 16, MF: 0.7, N: 48 , trees have length 16 , Accuracy: 87.48579998960523%, Ellapsed: 53.4 sec],
[Round 12, MD: 18, MF: 0.54, N: 77 , trees have length 18 , Accuracy: 88.15626322549988%, Ellapsed: 72.9 sec],
[Round 13, MD: 8, MF: 0.78, N: 20 , trees have length 8 , Accuracy: 82.89799009526072%, Ellapsed: 16.3 sec],
[Round 14, MD: 9, MF: 0.73, N: 70 , trees have length 9 , Accuracy: 84.43418991260961%, Ellapsed: 56.1 sec],
[Round 15, MD: 19, MF: 0.44, N: 37 , trees have length 19 , Accuracy: 88.43617977027539%, Ellapsed: 29.1 sec],
[Round 16, MD: 18, MF: 0.68, N: 18 , trees have length 18 , Accuracy: 88.06196773163651%, Ellapsed: 19.9 sec],
[Round 17, MD: 17, MF: 0.46, N: 24 , trees have length 17 , Accuracy: 87.88043034384444%, Ellapsed: 17.9 sec],
[Round 18, MD: 6, MF: 0.17, N: 63 , trees have length 6 , Accuracy: 80.39024969743768%, Ellapsed: 14.3 sec],
[Round 19, MD: 18, MF: 0.58, N: 48 , trees have length 18 , Accuracy: 87.99106049018808%, Ellapsed: 42.3 sec],
[Round 20, MD: 12, MF: 0.29, N: 51 , trees have length 12 , Accuracy: 85.37714485124329%, Ellapsed: 20.9 sec],
[Round 21, MD: 10, MF: 0.12, N: 74 , trees have length 10 , Accuracy: 83.8684169494294%, Ellapsed: 22.0 sec],
[Round 22, MD: 8, MF: 0.2, N: 17 , trees have length 8 , Accuracy: 82.1454823548629%, Ellapsed: 6.7 sec],
[Round 23, MD: 14, MF: 0.5, N: 68 , trees have length 14 , Accuracy: 87.00949637296466%, Ellapsed: 52.8 sec],
[Round 24, MD: 8, MF: 0.52, N: 52 , trees have length 8 , Accuracy: 82.72981742313432%, Ellapsed: 29.5 sec],
[Round 25, MD: 11, MF: 0.68, N: 67 , trees have length 11 , Accuracy: 85.58875284928313%, Ellapsed: 54.8 sec],
